,sweep,drug,peak_amplitude,baseline,normalized_amplitude,percent_change
0,3,TBOA_baseline,-820.8133616504861,-765.6666862088472,107.2024389247878,55.14667544163888
1,4,TBOA_baseline,-716.981244411088,-765.6666862088472,93.64143135979675,-48.685441797759154
2,5,TBOA_baseline,-748.5751882664788,-765.6666862088472,97.76776262436128,-17.09149794236839
3,6,TBOA_baseline,-664.7622235884003,-765.6666862088472,86.82135915824296,-100.9044626204469
4,7,TBOA_baseline,-836.9595905723043,-765.6666862088472,109.31121931351872,71.29290436345707
5,8,TBOA_baseline,-835.8651061893206,-765.6666862088472,109.16827403423501,70.19841998047343
6,9,TBOA_baseline,-735.7100887838528,-765.6666862088472,96.08751458505755,-29.956597424994357
7,10,DA,-753.2008742654573,-765.6666862088472,98.37190096318366,-12.465811943389895
8,11,DA,-851.8979175715381,-765.6666862088472,111.2622415100309,86.23123136269089
9,12,DA,-890.8659664026571,-765.6666862088472,116.35166874162002,125.19928019380995
10,13,DA,-918.133094340828,-765.6666862088472,119.91289563437965,152.46640813198087
11,14,DA,-873.1182743037809,-765.6666862088472,114.03372904037055,107.45158809493375
12,15,DA,-765.4295506515077,-765.6666862088472,99.96902887880448,-0.23713555733945668
13,16,DA,-756.796490482883,-765.6666862088472,98.84150690036098,-8.870195725964209
14,17,DA,-877.0089504024018,-765.6666862088472,114.54187131281095,111.34226419355457
15,18,TBOA,-907.6554016032195,-765.6666862088472,118.54445517244861,141.98871539437232
16,19,TBOA,-975.8322941683699,-765.6666862088472,127.44870734812103,210.16560795952273
17,20,TBOA,-891.7518978346959,-765.6666862088472,116.4673759348408,126.08521162584873
18,21,TBOA,-922.0912605390903,-765.6666862088472,120.42985246031404,156.4245743302431
19,22,TBOA,-854.7963354305057,-765.6666862088472,111.64078976231534,89.1296492216585
20,23,TBOA,-742.3124829138994,-765.6666862088472,96.94982115382548,-23.35420329494775
21,24,TBOA,-867.7913234542666,-765.6666862088472,113.33800191191332,102.12463724541942
22,25,TBOA,-695.1412773058253,-765.6666862088472,90.78901953378379,-70.52540890302191
23,26,TBOA,-685.08655100281,-765.6666862088472,89.47582065963651,-80.5801352060372
24,27,TBOA,-728.4747571218707,-765.6666862088472,95.1425431252429,-37.19192908697653
25,28,ASCF,-700.3772617526822,-765.6666862088472,91.47286598305045,-65.28942445616497
26,29,ASCF,-657.0715815022993,-765.6666862088472,85.81692181956485,-108.59510470654789
27,30,ASCF,-753.7561725536528,-765.6666862088472,98.44442577041342,-11.910513655194336
28,31,ASCF,-702.2155895503322,-765.6666862088472,91.71296103103437,-63.451096658514984
29,32,ASCF,-683.1294235436897,-765.6666862088472,89.22020976597064,-82.53726266515753
30,33,ASCF,-677.0626615993864,-765.6666862088472,88.42785951049035,-88.6040246094608
31,34,ASCF,-739.1736977835965,-765.6666862088472,96.5398797019067,-26.4929884252507
