,sweep,drug,peak_amplitude,baseline,normalized_amplitude,percent_change
0,20,TBOA_baseline,-1491.3793579138987,-1272.1313334610797,117.23470043429496,219.24802445281898
1,21,TBOA_baseline,-1382.8533811318339,-1272.1313334610797,108.70366484642065,110.72204767075414
2,22,TBOA_baseline,-1528.4273561254472,-1272.1313334610797,120.14697821859828,256.29602266436746
3,23,TBOA_baseline,-1615.0427147738885,-1272.1313334610797,126.9556587667605,342.91138131280877
4,24,TBOA_baseline,-1539.2630368548796,-1272.1313334610797,120.99875196588519,267.13170339379985
5,25,TBOA_baseline,-75.82215396653072,-1272.1313334610797,5.960245768040464,-1196.309179494549
6,26,DA,-1561.994505461165,-1272.1313334610797,122.78563261321898,289.86317200008534
7,27,DA,-1493.6222162429738,-1272.1313334610797,117.41100757099387,221.49088278189402
8,28,DA,-1321.1417325625957,-1272.1313334610797,103.85262101580139,49.010399101515986
9,29,DA,-961.1825172457843,-1272.1313334610797,75.55686209148713,-310.94881621529544
10,30,DA,-647.9332169775166,-1272.1313334610797,50.93288718977534,-624.1981164835631
11,31,DA,-608.1223449476239,-1272.1313334610797,47.803424768503206,-664.0089885134558
12,32,DA,-791.2799845107305,-1272.1313334610797,62.20112371243148,-480.85134895034923
13,33,DA,-606.0968218254982,-1272.1313334610797,47.64420196902896,-666.0345116355816
14,34,TBOA,-855.197294966786,-1272.1313334610797,67.22555073304075,-416.93403849429376
15,35,TBOA,-907.8407345426671,-1272.1313334610797,71.36375865160953,-364.2905989184127
16,36,TBOA,-1150.5929351366892,-1272.1313334610797,90.44608090945124,-121.53839832439053
17,37,TBOA,-866.3307180952985,-1272.1313334610797,68.10072948508217,-405.80061536578125
18,38,TBOA,-859.7893726047525,-1272.1313334610797,67.5865258554342,-412.3419608563272
19,39,TBOA,-1249.1210139882471,-1272.1313334610797,98.1911993779582,-23.010319472832634
20,40,TBOA,-1371.5783996550838,-1272.1313334610797,107.81735844234251,99.44706619400404
21,41,TBOA,-1265.8971391159937,-1272.1313334610797,99.5099409800618,-6.234194345086053
22,42,TBOA,-1301.7613438937146,-1272.1313334610797,102.32916285082143,29.63001043263489
23,43,TBOA,-1123.8832412493612,-1272.1313334610797,88.34647899062584,-148.24809221171859
24,44,ASCF,-1099.135458929484,-1272.1313334610797,86.40109947917665,-172.99587453159575
25,45,ASCF,-1107.9201240738373,-1272.1313334610797,87.09164650944695,-164.21120938724243
26,46,ASCF,-1251.0301636752677,-1272.1313334610797,98.34127426698922,-21.10116978581209
27,47,ASCF,-1279.0259283980577,-1272.1313334610797,100.54197194547672,6.89459493697791
28,48,ASCF,-1225.9281693919268,-1272.1313334610797,96.36805077794536,-46.20316406915299
29,49,ASCF,-974.0994217871743,-1272.1313334610797,76.57223717121629,-298.0319116739055
30,50,ASCF,-976.4149643906484,-1272.1313334610797,76.75425789050587,-295.71636907043137
31,51,ASCF,-1155.1708142245784,-1272.1313334610797,90.80593990887029,-116.96051923650134
32,52,ASCF,-1196.3141116824218,-1272.1313334610797,94.0401419425475,-75.817221778658
33,53,ASCF,-1227.6317561957076,-1272.1313334610797,96.50196673135135,-44.49957726537218
34,54,ASCF,-1073.158844213081,-1272.1313334610797,84.35912362077778,-198.97248924799874
35,55,ASCF,-712.0317426226367,-1272.1313334610797,55.97155921672147,-560.0995908384431
36,56,ASCF,-847.6595905723046,-1272.1313334610797,66.63302508759709,-424.4717428887751
37,57,ASCF,-783.3213810998977,-1272.1313334610797,61.57551193780599,-488.809952361182
38,58,ASCF,-703.5826826775675,-1272.1313334610797,55.30739351913725,-568.5486507835122
39,59,ASCF,-853.3309972215125,-1272.1313334610797,67.07884435955683,-418.8003362395673
40,60,ASCF,-980.4057308699538,-1272.1313334610797,77.06796500346942,-291.72560259112595
41,61,ASCF,-999.4184437276441,-1272.1313334610797,78.56252082153598,-272.71288973343565
42,62,ASCF,-942.0249484223303,-1272.1313334610797,74.05091940148735,-330.1063850387494
43,63,ASCF,-900.8624120145631,-1272.1313334610797,70.81520502789537,-371.26892144651663
